Location,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,BASEMENT BELT 3,FLUID COUPLING,COUPLING,REDUCTION GEARBOX,,,,DRIVE PULLEY,SNUB PULLEYS,WING ROLLERS,TROUGH ROLLERS,RETURN ROLLERS,BELT ALIGNMENT SWITCHES,PULL CORDS,STOP BUTTONS,CHUTE BLOCK,LOCAL ISOLATOR,HAND CONTROL,,,,,,,
,"BASEMENT BELT 1, VALVE 1 ",FEEDS MAIN ELEVATORS 1 AND 2,STOP BUTTON,HAND CONTROL,,,,,,,,,,,,,,,,,,,,,
,"BASMENT BELT 2, VALVE 1",FEEDSMAIN ELEVATORS 2 AND 3,STOP BUTTON,HAND CONTROL,,,,,,,,,,,,,,,,,,,,,
,"BASEMENT BELT 3, VALVE 1",FEEDS MAIN ELEVATORS 3 AND 4,STOP BUTTON,HAND CONTROL,,,,,,,,,,,,,,,,,,,,,
,MAIN ELEVATOR 1,,SPEED SENSOR,LOWER CHUTE BLOCK,HIGHER CHUTE BLOCK,HV MOTOR ,FLUID COUPLING DRIVE,REDUCTION GEARBOX,COUPLING,ANTI RUN BACK GEAR,PONY MOTOR,PONY COUPLING,PONY GEARBOX,STOP BUTTON,HAND CONTROL,,,,,,,,,,
,MAIN ELEVATOR 2,,SPEED SENSOR,LOWER CHUTE BLOCK,HIGHER CHUTE BLOCK,HV MOTOR ,FLUID COUPLING DRIVE,REDUCTION GEARBOX,COUPLING,ANTI RUN BACK GEAR,PONY MOTOR,PONY COUPLING,PONY GEARBOX,STOP BUTTON,HAND CONTROL,,,,,,,,,,
,MAIN ELEVATOR 3,,SPEED SENSOR,LOWER CHUTE BLOCK,HIGHER CHUTE BLOCK,HV MOTOR ,FLUID COUPLING DRIVE,REDUCTION GEARBOX,COUPLING,ANTI RUN BACK GEAR,PONY MOTOR,PONY COUPLING,PONY GEARBOX,STOP BUTTON,HAND CONTROL,,,,,,,,,,
,MAIN ELEVATOR 4,,SPEED SENSOR,LOWER CHUTE BLOCK,HIGHER CHUTE BLOCK,HV MOTOR ,FLUID COUPLING DRIVE,REDUCTION GEARBOX,COUPLING,ANTI RUN BACK GEAR,PONY MOTOR,PONY COUPLING,PONY GEARBOX,STOP BUTTON,HAND CONTROL,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,RB5,LV MOTOR,FLUID COUPLING,COUPLING,REDUCTION GEARBOX,DRIVE CHAIN,DRIVE SPROCKET,DRIVEN SPROCKET,DRIVE PULLEY,SNUB PULLEYS,WING ROLLERS,TROUGH ROLLERS,RETURN ROLLERS,BELT ALIGNMENT SWITCHES,PULL CORDS,STOP BUTTONS,SOUNDER,HAND CONTROL,BEND PULLEYS,GTU,,,,,
,RB6,LV MOTOR,FLUID COUPLING,COUPLING,REDUCTION GEARBOX,DRIVE CHAIN,DRIVE SPROCKET,DRIVEN SPROCKET,DRIVE PULLEY,SNUB PULLEYS,WING ROLLERS,TROUGH ROLLERS,RETURN ROLLERS,BELT ALIGNMENT SWITCHES,PULL CORDS,STOP BUTTONS,SOUNDER,HAND CONTROL,BEND PULLEYS,GTU,,,,,
,RB7,LV MOTOR,FLUID COUPLING,COUPLING,REDUCTION GEARBOX,DRIVE CHAIN,DRIVE SPROCKET,DRIVEN SPROCKET,DRIVE PULLEY,SNUB PULLEYS,WING ROLLERS,TROUGH ROLLERS,RETURN ROLLERS,BELT ALIGNMENT SWITCHES,PULL CORDS,STOP BUTTONS,SOUNDER,HAND CONTROL,BEND PULLEYS,GTU,,,,,
